,Layer_heads,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12
0,0,-0.90888738927861,1.4045118618563177,-0.13577084009713133,0.525209944263729,-5.799790845590325,-0.8110574470038794,3.895576368544514,1.183755906949761,0.12034031978592392,1.2800494701241136,7.420936620624393,5.107603541353549
1,1,1.1491284457785864,-1.2002424099445124,-1.1356326174657794,-1.0944595611902264,-1.0225914072656725,7.368409617361119,2.7750226392241975,3.8365236012895028,3.1934273316942057,-1.9357294722043739,5.168898771714041,1.9001307804947583
2,2,0.9679775100200394,6.014754616798147,3.869948292951286,-0.6691885069746047,0.7978036306036905,3.4194887801927525,4.442371453870688,3.0535613311039165,0.7968292981964783,-0.7559772851412395,2.4300307843342357,-0.730207362570497
3,3,2.4782074501052005,3.212572665481355,-0.8563077610098807,5.370414028315272,0.09618643522877687,2.2091871094979614,-1.0811334160017525,1.2409285047360472,7.9445526938738125,3.865803659302257,-2.8352534460943435,1.3490420948218578
4,4,2.9871206952344433,0.7648592939781617,-0.5713928316254028,5.49913343274209,1.9188243078171439,5.637035196197324,0.7122428078091594,2.137759907693611,-0.6659228405513443,3.2376253622987514,2.003962143207572,4.074538787604163
5,5,9.668448465269368,-0.5687344417028252,2.406696230376127,0.1459749475904312,2.2597451903493675,0.027279194672852114,0.7866700152321138,-0.7633969208217277,1.5023914696756966,0.1881487575271717,1.789277675657458,8.476474249246264
6,6,2.205865539992088,-0.6420038673381766,5.410834452041126,2.1659813043380614,-0.20425470150571234,0.6949796701463326,4.453244330042852,-0.3033356960953581,-4.788113007986899,6.149389480561492,2.7255170999532994,2.0543607484612996
7,7,1.9441067792867315,-4.002188336407635,2.418084547535165,6.50017241310174,0.11246401114818903,2.8598210461539004,1.1783471110074746,7.846369808648736,-0.9040930273309923,-1.8890973168144283,-0.04215705811788192,0.3754636235788376
8,8,8.574175656066476,0.9943834569480848,-1.62856352785703,-0.5578929013583682,0.9436795156578098,4.157628313889372,1.5627665901086527,-3.365027644898415,2.0826549157663368,5.692089893563228,0.3700296808657149,0.9793641247917722
9,9,-1.9763548286728387,-1.821305780596027,9.930244873999872,9.758487160918113,-0.17209530241883791,2.782597966918977,2.0805842731926862,0.23302736224647405,-1.5720527263343924,1.8431628888812341,-1.8248937066683935,0.6384758570835759
10,10,1.2636796099212122,0.8063067510429343,5.148806598973549,-3.6989269926404678,2.396418716366979,10.907465799199112,-2.296198476722209,5.969190103358758,-1.7794454289888257,0.702185462191202,4.601898408679999,1.5854870871806337
11,11,0.9518845937144537,7.879646639782483,1.3794661278507236,0.03987983820965689,6.130744536369693,-1.2159838498538094,-0.7824168323763406,-0.44391394004378487,1.2601891212792242,6.456112386942693,1.4838242839131592,1.7590971364143513
