,Layer_heads,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12
0,0,2.438851659453778,3.4956053636294753,-0.2408634081544428,0.7552895875710968,1.464322378273263,3.9951736629930252,0.8253685994368457,-3.604181010247344,0.4811444942472972,-1.6694475881071609,0.9493924426071467,0.9227285622505863
1,1,1.4458108099641205,2.3804915593177167,-0.7185300883432115,2.8804612173474213,-0.736733201763224,-0.7138301392310673,-0.6437740924893546,5.320450529062413,-1.053420414302194,-1.1172365226368812,-0.08809288163899737,3.5845673564738734
2,2,5.841707317951142,0.267031649598645,-0.7963946551046578,-2.267945007813837,4.13127779214162,-0.9295680939593566,-0.5821576196791991,0.9985173361001337,4.241528502324376,-4.650067753990136,1.4297777571270531,1.6432957209299377
3,3,-0.1683652651520521,1.5050500109675515,-0.1166600282295985,-3.226055134159483,0.1869359250178921,0.8856040399370909,1.8617397751637705,-1.544750070206119,5.443452872802701,4.570693339921329,2.3801688630131226,3.0012884364560963
4,4,-0.4836943199247295,3.0782528169604992,1.7137083566726494,0.11511125255429233,-1.5062391125807297,0.9869313156760782,2.9899927983527266,4.453950692552031,0.23848143990264173,0.7369844400806181,-2.3511197949482505,1.5304347648538208
5,5,2.1102202634333995,1.330145989450198,-2.067188600871249,3.669268185268502,3.576614548917568,-0.3675308147690879,-1.505832023227154,-0.20370577504753923,2.9395229792628514,-0.8068489416118589,-2.1602321408678535,4.517025800218226
6,6,1.1728097126436325,2.3121520984375747,1.5959674825211643,2.610167138713388,-0.025132893495127644,-1.600210402525424,1.7621024431975778,-0.26991431092729257,0.053990997365181655,0.37976358950253325,2.986455801206981,4.6693417743905385
7,7,-0.04234771954740058,0.7077798095616877,2.061061486448248,0.9935977476167546,1.3503933204378047,1.4572842073967271,-1.0778173520535206,-0.07997298839003539,4.887626379116168,-0.5684781867211807,4.345272974273912,-1.0715471574027413
8,8,-3.0139567807825522,0.062351717463417194,3.4995776221080193,5.390591180220204,0.33985680257261297,-0.7092250137174942,5.938679151545936,0.9948366176485166,-2.223758889962251,2.79302775587743,1.5475182698122132,0.5723868356670853
9,9,3.4315020224948616,2.2699301213829126,-1.3648753668228835,4.828312998918356,4.31586495416077,-0.809802779192397,-1.5426481044323672,1.738343083591486,-0.36609680888404666,-1.085063608143954,0.02951893823817503,0.2067581779311197
10,10,-2.777306457384863,-1.4636379401473885,0.671552095214943,1.5218455865952267,0.9935524164650724,6.522801066453346,2.9726902726031277,-0.6680669760969112,-3.728965697360555,0.14132929269328715,-3.765702132680698,0.4186866559235107
11,11,3.4928122793141063,5.643398050478545,-0.4040932760408794,-1.4447626112932839,-1.427362402479937,0.4467160392057376,-1.0045686025003733,-2.4284467384789283,2.24708523771578,0.2327367856846024,-3.9814616028724634,-1.2598821775725317
